"Level","Proficiency Bonus","Features","Cantrips Known"
"1st","+2","<<spellcasting-1>>, <<divine-domain>>","3"
"2nd","+2","<<channel-divinity>> (1/rest), <<divine-domain,Divine Domain feature>>","3"
"3rd","+2","—","3"
"4th","+2","<<ability-score-improvement-2>>","4"
"5th","+3","<<destroy-undead>> (CR 1/2)","4"
"6th","+3","<<channel-divinity>> (2/rest), <<divine-domain,Divine Domain feature>>","4"
"7th","+3","—","4"
"8th","+3","<<ability-score-improvement-2>>, <<destroy-undead>> (CR 1), <<divine-domain,Divine Domain feature>>","4"
"9th","+4","—","4"
"10th","+4","<<divine-intervention>>","4"
"11th","+4","<<destroy-undead>> (CR 2)","5"
"12th","+4","<<ability-score-improvement-2>>","5"
"13th","+5","—","5"
"14th","+5","<<destroy-undead>> (CR 3)","5"
"15th","+5","—","5"
"16th","+5","<<ability-score-improvement-2>>","5"
"17th","+6","<<destroy-undead>> (CR 4), <<divine-domain,Divine Domain feature>>","5"
"18th","+6","<<channel-divinity>> (3/rest)","5"
"19th","+6","<<ability-score-improvement-2>>","5"
"20th","+6","<<divine-intervention,Divine Intervention improvement>>","5"
