"Level","Proficiency Bonus","Features","Cantrips Known"
"1st","+2","<<druidic>>, <<spellcasting-2>>","2"
"2nd","+2","<<wild-shape>>, <<druid-circle>>","2"
"3rd","+2","—","2"
"4th","+2","<<wild-shape,Wild Shape improvement>>, <<ability-score-improvement-3>>","3"
"5th","+3","—","3"
"6th","+3","<<druid-circle,Druid Circle feature>>","3"
"7th","+3","—","3"
"8th","+3","<<wild-shape,Wild Shape improvement>>, <<ability-score-improvement-3>>","3"
"9th","+4","—","3"
"10th","+4","<<druid-circle,Druid Circle feature>>","4"
"11th","+4","—","4"
"12th","+4","<<ability-score-improvement-3>>","4"
"13th","+5","—","4"
"14th","+5","<<druid-circle,Druid Circle feature>>","4"
"15th","+5","—","4"
"16th","+5","<<ability-score-improvement-3>>","4"
"17th","+6","—","4"
"18th","+6","<<timeless-body>>, <<beast-spells>>","4"
"19th","+6","<<ability-score-improvement-3>>","4"
"20th","+6","<<archdruid>>","4"
