"Level","Proficiency Bonus","Features"
"1st","+2","<<fighting-style>>, <<second-wind>>"
"2nd","+2","<<action-surge>> (one use)"
"3rd","+2","<<martial-archetype>>"
"4th","+2","<<ability-score-improvement-4>>"
"5th","+3","<<extra-attack>>"
"6th","+3","<<ability-score-improvement-4>>"
"7th","+3","<<martial-archetype,Martial Archetype feature>>"
"8th","+3","<<ability-score-improvement-4>>"
"9th","+4","<<indomitable>> (one use)"
"10th","+4","<<martial-archetype,Martial Archetype feature>>"
"11th","+4","<<extra-attack>> (2)"
"12th","+4","<<ability-score-improvement-4>>"
"13th","+5","<<indomitable>> (two uses)"
"14th","+5","<<ability-score-improvement-4>>"
"15th","+5","<<martial-archetype,Martial Archetype feature>>"
"16th","+5","<<ability-score-improvement-4>>"
"17th","+6","<<action-surge>> (two uses), <<indomitable>> (three uses)"
"18th","+6","<<martial-archetype,Martial Archetype feature>>"
"19th","+6","<<ability-score-improvement-4>>"
"20th","+6","<<extra-attack>> (3)"
