"Level","Proficiency Bonus","Features","Cantrips Known"
"1st","+2","<<spellcasting-6>>, <<arcane-recovery>>","3"
"2nd","+2","<<arcane-tradition>>","3"
"3rd","+2","—","3"
"4th","+2","<<ability-score-improvement-11>>","4"
"5th","+3","—","4"
"6th","+3","<<arcane-tradition>> feature","4"
"7th","+3","—","4"
"8th","+3","<<ability-score-improvement-11>>","4"
"9th","+4","—","4"
"10th","+4","<<arcane-tradition>> feature","4"
"11th","+4","—","5"
"12th","+4","<<ability-score-improvement-11>>","5"
"13th","+5","—","5"
"14th","+5","<<arcane-tradition>> feature","5"
"15th","+5","—","5"
"16th","+5","<<ability-score-improvement-11>>","5"
"17th","+6","—","5"
"18th","+6","<<spell-mastery>>","5"
"19th","+6","<<ability-score-improvement-11>>","5"
"20th","+6","<<signature-spells>>","5"
